iter	MAE
669	2.022413504
670	2.021884213
671	2.021306802
672	2.020772261
673	2.02042247
674	2.019917951
675	2.019405522
676	2.018883812
677	2.018419578
678	2.017859147
679	2.017387193
680	2.017034387
681	2.01656695
682	2.016240675
683	2.01584759
684	2.015375264
685	2.014817263
686	2.014452224
687	2.01410811
688	2.013648517
689	2.013278419
690	2.012842083
691	2.012399359
692	2.011993802
693	2.0116199
694	2.011213829
695	2.010826153
696	2.010456034
697	2.009987641
698	2.009640118
699	2.009220389
700	2.008798354
701	2.00830712
702	2.007917616
703	2.007650081
704	2.007230478
705	2.006819213
706	2.006401529
707	2.006069252
708	2.005754243
709	2.005454474
710	2.005083812
711	2.00466626
712	2.00423748
713	2.003764183
714	2.003411006
715	2.003009778
716	2.002658103
717	2.002269333
718	2.001967629
719	2.00162929
720	2.001354212
721	2.000955937
722	2.000619642
723	2.000223486
724	1.999969128
725	1.999604859
726	1.999235886
727	1.998842278
728	1.998571743
729	1.998265656
730	1.997944182
731	1.997577194
732	1.997239859
733	1.996876871
734	1.996654049
735	1.996285907
736	1.99597995
737	1.995565542
738	1.995222184
739	1.994854056
740	1.994457444
741	1.994143284
742	1.993897355
743	1.993576474
744	1.993317944
745	1.992989194
746	1.992668133
747	1.992373304
748	1.992052335
749	1.991888275
750	1.99168075
751	1.991400486
752	1.99097226
753	1.990644488
754	1.990312811
755	1.990001469
756	1.989776318
757	1.989452284
758	1.989091898
759	1.988755861
760	1.988476419
761	1.988187229
762	1.987810026
763	1.987499816
764	1.987159805
765	1.986902913
766	1.986607134
767	1.986279312
768	1.98605169
769	1.985853519
770	1.985641621
771	1.985388699
772	1.985148634
773	1.98485666
774	1.984581562
775	1.984296345
776	1.983976128
777	1.983782611
778	1.983445619
779	1.983196227
780	1.982980082
781	1.982781313
782	1.982543051
783	1.982267856
784	1.981953018
785	1.981734196
786	1.981525491
787	1.981224586
788	1.980958416
789	1.980755897
790	1.980463281
791	1.980177449
792	1.979882778
793	1.979692293
794	1.979466503
795	1.979234184
796	1.979021949
797	1.978793116
798	1.978605278
799	1.97839191
800	1.978225058
801	1.978069125
802	1.97782017
803	1.977665528
804	1.977527815
805	1.977287781
806	1.977087366
807	1.976917014
808	1.976657896
809	1.976369391
810	1.976131546
811	1.975899666
812	1.975649397
813	1.975425001
814	1.975231875
815	1.974929071
816	1.974742798
817	1.974505958
818	1.974305551
819	1.974020059
820	1.973854709
821	1.973634048
822	1.97344189
823	1.973218956
824	1.973045422
825	1.972718573
826	1.972513203
827	1.972413909
828	1.972208841
829	1.971897849
830	1.971631716
831	1.97136769
832	1.971171813
833	1.970955801
834	1.970730127
835	1.970548496
836	1.970241421
837	1.969967838
838	1.969742516
839	1.969561739
840	1.969384857
841	1.969161005
842	1.969048277
843	1.968815279
844	1.968612172
845	1.968400249
846	1.968201412
847	1.9678854
848	1.96763316
849	1.967469882
850	1.967374128
851	1.967093834
852	1.966710478
853	1.966402791
854	1.966192318
855	1.966042733
856	1.965929714
857	1.965810435
858	1.965619122
859	1.965451354
860	1.965215187
861	1.9650962
862	1.964926305
863	1.964672391
864	1.964365277
865	1.964214442
866	1.963940373
867	1.96363578
868	1.963515985
869	1.963380343
870	1.963159331
871	1.962901508
872	1.962634971
873	1.962468831
874	1.962295503
875	1.962069199
876	1.961854777
877	1.96165359
878	1.961454588
879	1.961295491
880	1.961135607
881	1.961012747
882	1.960849187
883	1.96063331
884	1.960504996
885	1.960296492
886	1.960126631
887	1.959894985
888	1.959771179
889	1.959452802
890	1.959163044
891	1.958923707
892	1.958781274
893	1.958540714
894	1.958372953
895	1.95817211
896	1.958029664
897	1.957773196
898	1.957604756
899	1.95744747
900	1.957289365
901	1.957048603
902	1.956844388
903	1.956583909
904	1.956516751
905	1.956295009
906	1.956088683
907	1.955958574
908	1.955808546
909	1.955696499
910	1.955472796
911	1.955203841
912	1.955071127
913	1.954842857
914	1.954655839
915	1.954504821
916	1.95431366
917	1.954051956
918	1.953911437
919	1.95372265
920	1.953577575
921	1.953448164
922	1.953299394
923	1.953082007
924	1.952793472
925	1.952593903
926	1.95241322
927	1.95216493
928	1.951919531
929	1.951652913
930	1.951498795
931	1.951288683
932	1.951139419
933	1.950895726
934	1.950817238
935	1.950631006
936	1.95042439
937	1.950304996
938	1.950079342
939	1.949880587
940	1.949669464
941	1.949539043
942	1.949261747
943	1.949071352
944	1.948961493
945	1.948764302
946	1.948604103
947	1.948379598
948	1.948230306
949	1.948032319
950	1.947844631
951	1.947652942
952	1.947376223
953	1.947143737
954	1.947036071
955	1.946911826
956	1.946739113
957	1.946513328
958	1.946313887
959	1.946103456
960	1.945917158
961	1.945800683
962	1.945592766
963	1.945482211
964	1.945235257
965	1.94504977
966	1.944822686
967	1.944662899
968	1.944470152
969	1.944299599
970	1.944210249
971	1.944046051
972	1.943938584
973	1.943637613
974	1.943542131
975	1.943310916
976	1.943190119
977	1.943011916
978	1.942765732
979	1.942668598
980	1.942601614
981	1.942527191
982	1.942360663
983	1.94213207
984	1.941849417
985	1.941591732
986	1.941420559
987	1.941278353
988	1.941136889
989	1.940961272
990	1.940778876
991	1.940686513
992	1.940539801
993	1.940452461
994	1.940325814
995	1.940197704
996	1.93999942
997	1.939867148
998	1.939647415
999	1.939389042
