iter	RMSE
0	14.82988982
1	14.41659567
2	14.0158066
3	13.62167483
4	13.24672984
5	12.88472301
6	12.53082942
7	12.19028038
8	11.85684417
9	11.53831605
10	11.22603547
11	10.92594746
12	10.63622326
13	10.35345847
14	10.077595
15	9.809505124
16	9.554843912
17	9.306547708
18	9.063561062
19	8.830655178
20	8.604155338
21	8.391964463
22	8.184090552
23	7.982428564
24	7.784935734
25	7.593933717
26	7.409959711
27	7.231834357
28	7.057839952
29	6.888998855
30	6.729806265
31	6.575113571
32	6.429678788
33	6.286028084
34	6.149875825
35	6.016297733
36	5.891152483
37	5.769416635
38	5.647348402
39	5.534551931
40	5.426030296
41	5.32572761
42	5.221759362
43	5.125377834
44	5.030496036
45	4.939960763
46	4.854711756
47	4.771242985
48	4.677598374
49	4.586795889
50	4.515288836
51	4.441897479
52	4.372663097
53	4.304428056
54	4.242057044
55	4.172193242
56	4.118012344
57	4.048041368
58	3.995548838
59	3.933643383
60	3.883950161
61	3.836124605
62	3.782004505
63	3.740724714
64	3.685430424
65	3.638643286
66	3.601409728
67	3.565331374
68	3.532500984
69	3.499033455
70	3.466660833
71	3.437552933
72	3.396117156
73	3.369621373
74	3.342797595
75	3.307073768
76	3.271143477
77	3.24819492
78	3.221559859
79	3.199727294
80	3.181747766
81	3.150612758
82	3.132732372
83	3.114271631
84	3.097584168
85	3.083694687
86	3.068456731
87	3.053870214
88	3.041789182
89	3.028980291
90	3.004875029
91	2.990760689
92	2.968331023
93	2.946142907
94	2.93738582
95	2.920309026
96	2.900201605
97	2.883516586
98	2.872966517
99	2.863452834
100	2.845758887
101	2.833881129
102	2.823468517
103	2.807483172
104	2.794440234
105	2.786556693
106	2.779788582
107	2.773132426
108	2.768725036
109	2.763976228
110	2.758983183
111	2.756059057
112	2.743588299
113	2.731845409
114	2.720313244
115	2.709248848
116	2.705926071
117	2.702515694
118	2.693783204
119	2.68638723
120	2.677491895
121	2.67270579
122	2.667070554
123	2.662806679
124	2.655773009
125	2.648274215
126	2.642613489
127	2.639774762
128	2.6380161
129	2.630680851
130	2.623752223
131	2.622071833
132	2.61530843
133	2.613288092
134	2.610272885
135	2.608829762
136	2.607379751
137	2.604022936
138	2.602281362
139	2.599707728
140	2.599182525
141	2.59517104
142	2.594235292
143	2.588677216
144	2.587306717
145	2.581455964
146	2.577937327
147	2.576606118
148	2.574573388
149	2.568915767
150	2.56412972
151	2.559052125
152	2.554107762
