iter	RMSE
15	107293046.1616	105079524.1717	103044097.1818	100979714.1919	9886980120	120	9686905821	21	94914338.22	22	93047084.23	23	91267184.2424	89544722.62525	87762030.26	26	86159448.27	27	84597083.28	28	83042874.29	29	81538473.30	30	80080504.31	31	78767873.32	32	77507608.33	33	76153485.34	34	74977814.35	35	73792363.36	36	72627199.37	37	71560429.38	38	70358918.3939	69229200.40	40	68068638.41	41	67035095.42	42	66125291.43	43	65230732.44	44	64261659.45	45	63390076.46	46	62561185.47	47	61686947.48	48	60783739.49	49	59937591.50	50	59181101.51	51	58455449.52	52	57753448.53	53	57033367.54	54	56372360.55	55	55675633.56	56	55062357.57	57	54488642.58	58	53939972.5959	53360831.16060	52811983.56161	52294806.96262	51760594.96363	51265427.16464	50735261.6565	50204822.46666	49826150.66767	49356324.46868	48945326.46969	48613716.77070	48226302.17171	47812514.37272	47396762.57373	47073958.57474	46723481.37575	46410217.17676	45964252.77	77	45477537.78	78	45003839.79	79	44643036.80	80	44383592.8181	44098067.38282	43599861.68383	43432438.08484	43150672.38585	42982347.38686	42759709.58787	42499352.78888	42299413.5889	42114943.39990	41939554.47991	41722112.31992	41580133.8993	41386091.64994	41100756.34995	40883436.71996	40744905.06997	40613143.38998	40330714.14999	40193297.721100	40028157101	101	39890869102102	39740665.103103	39597377.104104	39350054.105105	39250117.106106	39109729.107107	38960780.108108	38716853.109109	38608100.110110	38518813.111111	38440413.112112	38371151.113113	383352114	36114	382014115115	38126900.116116	38028460.11117	37969214.911118	37851025.911119	37694506.312120	37648136.012121	37533945.412122	37421501.512123	37303613.312124	37210135.812125	37129136.126126	36969098.127127	36847479128	128	3675691129	3129	3672427130	3130	3664999131	3131	3662555132	3132	3661002133	133	36598325134	134	36506354135	135	36305352136	136	3620414137	3137	3610118138	3138	3607581139	3139	3603908140	3140	3596442141	3141	3583063142	3142	357554143	3143	3574441144	3144	3563297145	3145	3555436146	3146	3549363147	3147	3544734148	3148	3538951149	3149	3535816150	150	3533820151	3151	3525939152	3152	3510924153	3153	3508043154	3154	3507285155	155	34997527156	156	34917403157	157	34803273158	158	34774219159	159	3465640160	3160	3460120161	3161	3455976162	3162	3455633163	163	34490453164164	34442748.165165	34417147.166166	34413289167	167	34298197168	168	34218497169	169	34179971170	170	34167345171	171	341560671172	34155108.251173	34052880.081174	34020596.921175	34000763.761176	33947867.221177	33909694.021178	33869531.241179	33826738.191180	33761675.451181	33714653
182	33687194.2
183	33683341.42
184	33635981.06
185	33604631.44
186	33579517.64
187	33452831.85
188	33317350.42
189	33299375.89
190	33247441.44
191	33221146.26
192	33212183.91
193	33131088
194	33130774.26
195	33102518.59
196	33100358.4
197	33079310.09
198	32973181.35
199	32967345.43
200	32898503.79
201	32877114.03
202	32866740.77
203	32736305.75
204	32733493.97
205	32699758.95
206	32689069.89
207	32686275.49
208	32683461.31
209	32650690.57
210	32648787.82
211	32642403.36
212	32642194.6
213	32603536.76
214	32560202.56
215	32557032.92
216	32555447.83
217	32553929.98
218	32547372.13
219	32484308.86
220	32472420.52
221	32447892.34
222	32394431.04
223	32300135.55
224	32206481.08
225	32206450.41
226	32191168.74
227	32185473.05
228	32183765.35
229	32181051.29
230	32150755.73
231	32149102.87
232	32079464.28
233	32064854.72
234	31976340.38
235	31946933.87
236	31919236.07
237	31918317.323238	31918270.323239	31905115.424240	31903508.241241	31902839.242242	31800104.243243	31800051.244244	31699978.245245	31640635.24246	31638951.124247	31636727.824248	31611735.724249	31610193.725250	31551052.125251	31549926.425252	31525606.025253	31525581.425254	31463440.325255	31463050.825256	31462954.825257	31462901.325258	31427320
259	31384240.14
260	31383928.09
261	31383766.69
262	31363151.16
263	31362967.55
264	31362947.41
265	31269190.2
266	31200365.97
267	31167406.84
268	31135943.14
269	31135922.75
270	31135732.64
271	31105512.06
272	31085824.87
273	31053058.88
274	30993113.2
275	30958159.16
276	30898534.83
277	30885500.01
278	30880880.39
279	30865607.44
280	30865555.83
281	30845810.13
282	30832780.672283	30832664.732284	30769888.432285	30734699.6
286	30721400.64
287	30721221.21
288	30714507.41
289	30714480.08
290	30689595.31
291	30688744.87
292	30683832.16
293	30650435.03
294	30630106.63
