iter	Passed	Remaining
399	41429	62143
400	41523	62026
401	41597	61879
402	41677	61740
403	41756	61600
404	41845	61477
405	41947	61371
406	42109	61352
407	42197	61228
408	42294	61115
409	42400	61015
410	42488	60889
411	42586	60778
412	42685	60669
413	42753	60516
414	42869	60430
415	42971	60325
416	43088	60241
417	43169	60106
418	43288	60024
419	43386	59915
420	43485	59804
421	43589	59702
422	43686	59590
423	43789	59487
424	43864	59346
425	43975	59253
426	44143	59237
427	44208	59082
428	44318	58988
429	44424	58887
430	44519	58773
431	44618	58665
432	44682	58509
433	44763	58378
434	44873	58283
435	44978	58183
436	45059	58051
437	45212	58012
438	45323	57919
439	45429	57819
440	45540	57725
441	45608	57578
442	45718	57483
443	45801	57354
444	45877	57217
445	45952	57079
446	46037	56954
447	46158	56873
448	46299	56817
449	46406	56719
450	46495	56599
451	46601	56499
452	46699	56389
453	46797	56280
454	46924	56206
455	46998	56068
456	47102	55966
457	47199	55855
458	47334	55790
459	47406	55650
460	47502	55539
461	47605	55436
462	47685	55306
463	47794	55211
464	47883	55091
465	47988	54990
466	48106	54904
467	48204	54796
468	48295	54680
469	48435	54618
470	48523	54499
471	48616	54384
472	48704	54264
473	48832	54189
474	48922	54072
475	49027	53971
476	49116	53852
477	49221	53752
478	49327	53652
479	49449	53570
480	49555	53470
481	49659	53368
482	49756	53259
483	49882	53180
484	49979	53070
485	50100	52986
486	50169	52847
487	50275	52748
488	50362	52628
489	50517	52579
490	50599	52454
491	50702	52351
492	50799	52241
493	50918	52155
494	51030	52061
495	51151	51976
496	51251	51870
497	51334	51746
498	51452	51659
499	51572	51572
500	51679	51472
501	51784	51372
502	51865	51247
503	51970	51145
504	52056	51025
505	52164	50927
506	52270	50827
507	52365	50716
508	52438	50584
509	52542	50481
510	52666	50398
511	52778	50304
512	52875	50195
513	52983	50097
514	53105	50011
515	53217	49917
516	53343	49834
517	53428	49715
518	53529	49610
519	53682	49552
520	53757	49424
521	53887	49345
522	54021	49269
523	54117	49160
524	54217	49053
525	54343	48970
526	54428	48851
527	54549	48763
528	54644	48653
529	54815	48609
530	54909	48498
531	54992	48376
532	55076	48256
533	55226	48194
534	55346	48105
535	55435	47989
536	55553	47898
537	55650	47789
538	55740	47674
539	55905	47623
540	56025	47533
541	56106	47411
542	56204	47302
543	56302	47195
544	56410	47095
545	56507	46986
546	56617	46887
547	56704	46771
548	56799	46660
549	56942	46588
550	57045	46485
551	57130	46367
552	57296	46313
553	57410	46218
554	57518	46118
555	57647	46034
556	57782	45955
557	57854	45827
558	58006	45761
559	58150	45689
560	58232	45568
561	58357	45481
562	58475	45388
563	58578	45284
564	58687	45184
565	58786	45076
566	58884	44968
567	59088	44940
568	59154	44807
569	59257	44703
570	59389	44620
571	59485	44510
572	59588	44405
573	59713	44317
574	59817	44212
575	59941	44123
576	60080	44045
577	60170	43930
578	60275	43827
579	60398	43736
580	60474	43612
581	60576	43506
582	60684	43405
583	60769	43287
584	60893	43198
585	61087	43157
586	61213	43068
587	61297	42949
588	61427	42863
589	61510	42744
590	61609	42636
591	61725	42540
592	61850	42450
593	61967	42355
594	62065	42246
595	62196	42160
596	62289	42048
597	62397	41946
598	62485	41830
599	62582	41721
600	62686	41617
601	62800	41519
602	62905	41415
603	62997	41303
604	63117	41209
605	63308	41160
606	63401	41049
607	63487	40932
608	63576	40818
609	63676	40711
610	63777	40604
611	63878	40498
612	63985	40395
613	64091	40292
614	64188	40182
615	64349	40114
616	64439	40000
617	64534	39889
618	64662	39800
619	64732	39674
620	64822	39561
621	64964	39480
622	65051	39365
623	65159	39262
624	65266	39159
625	65447	39101
626	65543	38991
627	65678	38905
628	65766	38790
629	65848	38672
630	65986	38587
631	66064	38467
632	66168	38363
633	66294	38270
634	66385	38158
635	66535	38080
636	66651	37981
637	66772	37886
638	66895	37792
639	67032	37705
640	67135	37600
641	67232	37491
642	67352	37394
643	67454	37288
644	67608	37210
645	67705	37101
646	67799	36991
647	67924	36897
648	67998	36776
649	68091	36664
650	68240	36583
651	68336	36474
652	68456	36377
653	68542	36262
654	68693	36182
655	68795	36075
656	68892	35966
657	68980	35852
658	69093	35752
659	69181	35638
660	69266	35524
661	69395	35431
662	69513	35333
663	69605	35221
664	69760	35142
665	69854	35032
666	69919	34907
667	70040	34810
668	70149	34707
669	70244	34597
670	70364	34500
671	70466	34394
672	70571	34289
673	70699	34195
674	70935	34154
675	71071	34063
676	71228	33983
677	71404	33911
678	71490	33797
679	71573	33681
680	71660	33567
681	71740	33451
682	71826	33336
683	71965	33247
684	72062	33138
685	72157	33028
686	72249	32917
687	72329	32800
688	72435	32696
689	72524	32583
690	72601	32465
691	72725	32369
692	72821	32259
693	72925	32154
694	73053	32059
695	73161	31955
696	73281	31856
697	73355	31738
698	73477	31640
699	73582	31535
700	73658	31417
701	73758	31310
702	73865	31206
703	73961	31097
704	74034	30978
705	74214	30905
706	74310	30796
707	74400	30684
708	74506	30580
709	74597	30469
710	74701	30363
711	74792	30253
712	74880	30141
713	74987	30037
714	75099	29934
715	75240	29843
716	75331	29733
717	75473	29642
718	75569	29533
719	75693	29436
720	75801	29332
721	75890	29220
722	75997	29116
723	76090	29006
724	76196	28902
725	76374	28824
726	76455	28710
727	76564	28606
728	76693	28510
729	76773	28395
730	76877	28289
731	77027	28201
732	77102	28085
733	77213	27982
734	77436	27919
735	77512	27803
736	77606	27694
737	77721	27592
738	77809	27480
739	77933	27382
740	78051	27281
741	78139	27169
742	78239	27062
743	78345	26957
744	78486	26864
745	78573	26752
746	78684	26649
747	78768	26536
748	78884	26435
749	78994	26331
750	79075	26218
751	79173	26110
752	79267	26001
753	79364	25893
754	79491	25795
755	79639	25703
756	79740	25597
757	79836	25488
758	79939	25382
759	80041	25276
760	80122	25163
761	80225	25057
762	80316	24947
763	80423	24842
764	80527	24737
765	80650	24637
766	80765	24535
767	80874	24430
768	80957	24318
769	81031	24204
770	81131	24097
771	81234	23991
772	81329	23883
773	81421	23774
774	81509	23663
775	81599	23554
776	81759	23465
777	81857	23357
778	81947	23248
779	82058	23144
780	82159	23038
781	82280	22937
782	82364	22826
783	82475	22722
784	82568	22614
785	82638	22499
786	82809	22412
787	82882	22298
788	82966	22187
789	83083	22085
790	83166	21974
791	83270	21868
792	83409	21772
793	83485	21659
794	83599	21557
795	83704	21451
796	83778	21338
797	83966	21254
798	84088	21153
799	84165	21041
800	84263	20934
801	84361	20827
802	84466	20722
803	84569	20616
804	84666	20509
805	84743	20397
806	84842	20290
807	84997	20197
808	85110	20094
809	85230	19992
810	85359	19892
811	85434	19780
812	85534	19673
813	85630	19566
814	85723	19458
815	85818	19351
816	85924	19246
817	86000	19134
818	86164	19042
819	86265	18936
820	86335	18823
821	86451	18720
822	86583	18621
823	86677	18513
824	86768	18405
825	86850	18295
826	86934	18185
827	87037	18080
828	87204	17987
829	87300	17880
830	87438	17782
831	87523	17672
832	87612	17564
833	87714	17458
834	87792	17348
835	87879	17239
836	87981	17133
837	88069	17025
